id,region_from,region_to,firm_ttc_mw,nonfirm_ttc_mw,tariff_mills_kwh
309,CN_MB,MIS_MAPP,300.0,500.0,8.0
310,CN_MB,CN_ON,225.0,225.0,3.0
311,CN_MB,CN_SK,500.0,500.0,3.0
312,CN_NB,NENG_ME,700.0,1000.0,8.0
313,CN_NB,CN_NS,300.0,300.0,3.0
314,CN_NB,CN_PE,210.0,210.0,3.0
315,CN_NB,CN_PQ,770.0,770.0,3.0
316,CN_NF,CN_NL,1.0,1.0,3.0
317,CN_NS,CN_NB,350.0,350.0,3.0
318,CN_ON,NY_Z_A,1700.0,1700.0,8.0
319,CN_ON,MIS_MNWI,0.0,162.0,8.0
320,CN_ON,MIS_LMI,0.0,1750.0,8.0
321,CN_ON,CN_MB,225.0,225.0,3.0
322,CN_ON,CN_PQ,1545.0,1545.0,3.0
323,CN_ON,NY_Z_D,300.0,300.0,8.0
324,CN_PE,CN_NB,105.0,105.0,3.0
325,CN_PQ,NY_Z_D,1500.0,1500.0,8.0
326,CN_PQ,NENGREST,1600.0,2217.0,8.0
327,CN_PQ,CN_NB,1017.0,1017.0,3.0
328,CN_PQ,CN_NL,5500.0,5500.0,3.0
329,CN_PQ,CN_ON,2730.0,2730.0,3.0
330,CN_SK,SPP_WAUE,0.0,100.0,8.0
331,CN_SK,CN_AB,153.0,153.0,3.0
332,CN_SK,CN_MB,400.0,400.0,3.0
