Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Wheeler Dam 7,hydro,Reservoir,PP,US,35.1,,,,,,1948,,, ,34.8069,-87.3819,,5,
Wheeler Dam 8,hydro,Reservoir,PP,US,35.1,,,,,,1949,,, ,34.8069,-87.3819,,6,
Wheeler Dam 9,hydro,Reservoir,PP,US,35.1,,,,,,1949,,, ,34.8069,-87.3819,,7,
Wheeler Dam 10,hydro,Reservoir,PP,US,35.1,,,,,,1950,,, ,34.8069,-87.3819,,8,
Wheeler Dam 11,hydro,Reservoir,PP,US,43.6,,,,,,1962,,, ,34.8069,-87.3819,,9,
Gantt 1,hydro,Reservoir,PP,US,1.2,,,,,,1926,,, ,31.4033,-86.479469,,3,
Gantt 2,hydro,Reservoir,PP,US,1.8,,,,,,1985,,, ,31.4033,-86.479469,,4,
J K Smith 1,OCGT,OCGT,PP,US,149,,,,,,1999,,, ,37.8833,-84.1017,,GT1,
J K Smith 2,OCGT,OCGT,PP,US,98,,,,,,2010,,, ,37.8833,-84.1017,,GT10,
J K Smith 3,OCGT,OCGT,PP,US,149,,,,,,1999,,, ,37.8833,-84.1017,,GT2,
J K Smith 4,OCGT,OCGT,PP,US,149,,,,,,1999,,, ,37.8833,-84.1017,,GT3,
J K Smith 5,OCGT,OCGT,PP,US,108,,,,,,2001,,, ,37.8833,-84.1017,,GT4,
J K Smith 6,OCGT,OCGT,PP,US,108,,,,,,2001,,, ,37.8833,-84.1017,,GT5,
J K Smith 7,OCGT,OCGT,PP,US,98,,,,,,2005,,, ,37.8833,-84.1017,,GT6,
J K Smith 8,OCGT,OCGT,PP,US,98,,,,,,2005,,, ,37.8833,-84.1017,,GT7,
J K Smith 9,OCGT,OCGT,PP,US,98,,,,,,2010,,, ,37.8833,-84.1017,,GT9,
Point A 1,hydro,Reservoir,PP,US,1.6,,,,,,1925,,, ,31.361146,-86.518307,,1,
Point A 2,hydro,Reservoir,PP,US,1.6,,,,,,1925,,, ,31.361146,-86.518307,,2,
Point A 3,hydro,Reservoir,PP,US,2,,,,,,1949,,, ,31.361146,-86.518307,,3,
Platte 1,coal,coal,PP,US,109.8,,,,,,1982,,, ,40.854765,-98.348222,,1,
Whelan Energy Center 1,coal,coal,PP,US,76.3,,,,,,1981,,, ,40.580872,-98.312437,,1,
Whelan Energy Center 2,coal,coal,PP,US,248,,,,,,2011,,, ,40.580872,-98.312437,,2,
Annex Creek 1,hydro,Reservoir,PP,US,1.8,,,,,,1915,,, ,58.3176,-134.101,,5,
Annex Creek 2,hydro,Reservoir,PP,US,2.2,,,,,,1915,,, ,58.3176,-134.101,,6,
Gold Creek 1,hydro,Reservoir,PP,US,0.8,,,,,,1951,,, ,58.3107,-134.4174,,1,
Gold Creek 2,hydro,Reservoir,PP,US,0.4,,,,,,1914,,, ,58.3107,-134.4174,,2,
Gold Creek 3,hydro,Reservoir,PP,US,0.4,,,,,,1914,,, ,58.3107,-134.4174,,3,
Gold Creek 4,oil,oil,PP,US,1.2,,,,,,1952,,, ,58.3107,-134.4174,,IC1,
Gold Creek 5,oil,oil,PP,US,1.2,,,,,,1954,,, ,58.3107,-134.4174,,IC2,
Gold Creek 6,oil,oil,PP,US,1.1,,,,,,1961,,, ,58.3107,-134.4174,,IC3,
Gold Creek 7,oil,oil,PP,US,3.5,,,,,,1963,,, ,58.3107,-134.4174,,IC4,
Gold Creek 8,oil,oil,PP,US,1.1,,,,,,1966,,, ,58.3107,-134.4174,,IC5,
Lemon Creek 1,oil,oil,PP,US,2.5,,,,,,1969,,, ,58.3536,-134.4953,,1,
Lemon Creek 2,oil,oil,PP,US,2.6,,,,,,1969,,, ,58.3536,-134.4953,,2,
Lemon Creek 3,oil,oil,PP,US,2.6,,,,,,1974,,, ,58.3536,-134.4953,,3,
Lemon Creek 4,oil,oil,PP,US,18.6,,,,,,1980,,, ,58.3536,-134.4953,,5,
Lemon Creek 5,oil,oil,PP,US,18.6,,,,,,1983,,, ,58.3536,-134.4953,,6,
Lemon Creek 6,oil,oil,PP,US,2.8,,,,,,1983,,, ,58.3536,-134.4953,,7,
Lemon Creek 7,oil,oil,PP,US,2.8,,,,,,1984,,, ,58.3536,-134.4953,,IC10,
Lemon Creek 8,oil,oil,PP,US,2.8,,,,,,1984,,, ,58.3536,-134.4953,,IC11,
Lemon Creek 9,oil,oil,PP,US,2.8,,,,,,1984,,, ,58.3536,-134.4953,,IC12,
Lemon Creek 10,oil,oil,PP,US,2.8,,,,,,1985,,, ,58.3536,-134.4953,,IC8,
Lemon Creek 11,oil,oil,PP,US,2.8,,,,,,1985,,, ,58.3536,-134.4953,,IC9,
Salmon Creek 1 1,hydro,Reservoir,PP,US,8.5,,,,,,1984,,, ,58.3269,-134.4631,,HY7,
Skagway 1,hydro,Reservoir,PP,US,0.4,,,,,,1957,,, ,59.4545,-135.3131,,1,
Skagway 2,hydro,Reservoir,PP,US,0.1,,,,,,1909,,, ,59.4545,-135.3131,,2,
Skagway 3,hydro,Reservoir,PP,US,0.3,,,,,,1981,,, ,59.4545,-135.3131,,3,
Skagway 4,hydro,Reservoir,PP,US,0.2,,,,,,1987,,, ,59.4545,-135.3131,,4,
